Name,Cluster
Rubroboletus pulcherrimus,1
Caloboletus rubripes,1
../species/Boletus rex-veris.html,1
Boletus edulis,1
Xerocomellus dryophilus,1
Butyriboletus autumniregius,1
Amanita pachycolea,2
Xerocomus subtomentosus,2
Xerocomellus mendocinensis,2
Xerocomellus atropurpureus,2
Caloboletus frustosus,2
Boletus smithii,2
Xerocomellus diffractus,2
Butyriboletus persolidus,2
Amanita calyptratoides,2
Suillellus amygdalinus,2
Boletus regineus,2
Aureoboletus flaviporus,2
Aureoboletus citriniporus,2
Rubroboletus eastwoodiae,2
Pseudosperma sororium,2
Clitocybe nuda,3
Agaricus moronii,3
Clitocybe nebularis,3
Clitocybe sclerotoidea,3
Clitocybe tarda,3
Lactarius pubescens,3
Lactarius xanthogalactus,3
Tricholoma equestre,3
Mycena oregonensis,3
Mycena pura,3
Russula aeruginea,3
Russula cerolens,3
Tricholoma fracticum,3
Tricholoma sejunctum,3
Lactarius rubidus,3
Clitocybe deceptiva,3
Tricholoma myomyces,3
Agaricus californicus,3
Agaricus fuscovelatus,3
Agaricus incultorum,3
Agaricus campestris,3
Amanita novinupta,3
Agaricus perobscurus,3
Agaricus lilaceps,4
Clitocybe odora,4
Agaricus brunneofibrillosus,4
Agaricus subrufescens,4
Mycena overholtsii,4
Agaricus bernardii,4
Tricholoma griseoviolaceum,4
Tricholoma imbricatum,4
Tricholoma saponaceum,4
Agaricus bitorquis,4
Agaricus sylvicola,4
Clitocybe glacialis,4
Boletus orovillus,4
Tricholoma murrillianum,4
Agaricus semotus,5
Agaricus subrutilescens,5
Agaricus benesii,5
Agaricus xanthodermus,5
Agaricus hondensis,5
Tricholoma muricatum,5
Agaricus deardorffensis,5
Clitocybe albirhiza,5
Tricholoma dryophilum,5
Agaricus comtulus,6
Paralepista flaccida,6
Agaricus diminutivus,6
Agaricus micromegathus,6
Agaricus arorae,6
Clitocybe rivulosa,6
Amanita pantherina,7
Amanita ocreata,7
Mycena acicula,7
Amanita muscaria,7
Amanita gemmata,7
Amanita phalloides,7
Suillus fuscotomentosus,7
Amanita smithiana,7
Inocybe fraudans,7
Mycena nivicola,7
Inocybe citrifolia,7
Amanita velosa,7
Inosperma adaequatum,7
Amanita augusta,7
Amanita vaginata,7
Amanita aprica,7
Amanita vernicoccora,7
Suillus pungens,8
Russula silvicola,8
Russula olivacea,8
Russula dissimulans,8
Russula brevipes,8
Agaricus augustus,8
Suillus tomentosus,8
Mycena capillaripes,8
Tricholoma vernaticum,8
Amanita calyptroderma,8
Inocybe brunnescens,8
Mycena tenerrima,8
Inocybe corydalina,8
Lactarius pallescens,8
Lactarius deliciosus,8
Inocybe pallidicremea,8
Inocybe griseolilacina,8
Mycena galericulata,8
Mycena californiensis,9
Agaricus pattersonae,9
Agaricus fissuratus,9
Inocybe insinuata,9
Tricholoma atroviolaceum,9
Russula fragrantissima,9
Agaricus smithianus,9
Mycena haematopus,9
Lactarius argillaceifolius,9
Mycena aurantiomarginata,9
Lactarius rubrilacteus,9
Lactarius alnicola,10
Mycena maculata,10
Tricholoma moseri,10
Mycena amicta,10
Mycena purpureofusca,10
Russula sanguinea,10
Russula basifurcata,10
Suillus volcanalis,10
Suillus umbonatus,10
Russula cyanoxantha,10
Suillus megaporinus,10
Suillus lakei,10
Russula densifolia,10
Suillus caerulescens,10
Suillus brevipes,10
Amanita constricta,10
Russula cantharellicola,10
Inocybe pudica,10
