Name,Pileus Width Lower,Pileus Width Upper,Cluster
Agaricus moronii,600.0,1200.0,7
Agaricus arorae,300.0,800.0,4
Agaricus fissuratus,600.0,2100.0,10
Agaricus augustus,600.0,3200.0,8
Agaricus benesii,400.0,800.0,4
Agaricus bernardii,700.0,1600.0,6
Agaricus bitorquis,500.0,1500.0,6
Agaricus subrufescens,600.0,1300.0,7
Agaricus brunneofibrillosus,400.0,1500.0,6
Agaricus californicus,400.0,1100.0,5
Agaricus campestris,500.0,1000.0,5
Agaricus comtulus,250.0,400.0,2
Agaricus incultorum,250.0,600.0,3
Agaricus deardorffensis,700.0,1900.0,10
Agaricus diminutivus,150.0,250.0,1
Agaricus fuscovelatus,350.0,800.0,4
Agaricus hondensis,700.0,1400.0,6
Agaricus lilaceps,800.0,2000.0,10
Agaricus micromegathus,250.0,400.0,2
Agaricus pattersonae,500.0,1500.0,6
Agaricus perobscurus,800.0,1200.0,7
Agaricus semotus,200.0,600.0,3
Agaricus sylvicola,600.0,1200.0,7
Agaricus smithianus,700.0,1200.0,7
Agaricus subrutilescens,600.0,1400.0,7
Agaricus xanthodermus,500.0,1700.0,6
Amanita aprica,500.0,1500.0,6
Amanita augusta,400.0,1200.0,7
Amanita calyptroderma,800.0,2500.0,9
Amanita calyptratoides,300.0,1000.0,5
Amanita constricta,600.0,1200.0,7
Amanita gemmata,300.0,1100.0,5
Amanita muscaria,600.0,3900.0,8
Amanita novinupta,500.0,1400.0,7
Amanita ocreata,500.0,1300.0,7
Amanita pachycolea,800.0,1800.0,10
Amanita pantherina,400.0,1500.0,6
Amanita phalloides,350.0,1500.0,6
Amanita smithiana,700.0,1400.0,6
Amanita vaginata,550.0,1000.0,5
Amanita velosa,500.0,1100.0,5
Amanita vernicoccora,800.0,2000.0,10
Clitocybe deceptiva,120.0,500.0,2
Tricholoma murrillianum,500.0,2500.0,9
Aureoboletus citriniporus,400.0,800.0,4
Aureoboletus flaviporus,600.0,1100.0,5
Clitocybe nuda,400.0,1400.0,7
Boletus regineus,700.0,1400.0,6
Suillellus amygdalinus,400.0,1000.0,5
Butyriboletus persolidus,700.0,1400.0,6
Xerocomellus diffractus,400.0,900.0,4
Xerocomellus dryophilus,400.0,1200.0,7
Rubroboletus eastwoodiae,1000.0,2200.0,10
Boletus edulis,700.0,2500.0,9
Caloboletus frustosus,700.0,1500.0,6
Boletus orovillus,800.0,1500.0,6
../species/Boletus rex-veris.html,900.0,1800.0,10
Rubroboletus pulcherrimus,900.0,1700.0,10
Butyriboletus autumniregius,800.0,1500.0,6
Caloboletus rubripes,600.0,1600.0,6
Boletus smithii,700.0,1500.0,6
Xerocomus subtomentosus,400.0,1200.0,7
Xerocomellus mendocinensis,500.0,1000.0,5
Xerocomellus atropurpureus,400.0,1100.0,5
Lactarius rubidus,150.0,450.0,2
Clitocybe albirhiza,200.0,900.0,4
Clitocybe rivulosa,200.0,400.0,2
Paralepista flaccida,200.0,900.0,4
Clitocybe glacialis,200.0,600.0,3
Clitocybe nebularis,500.0,2500.0,9
Clitocybe odora,250.0,700.0,3
Clitocybe sclerotoidea,100.0,300.0,1
Clitocybe tarda,200.0,600.0,3
Inosperma adaequatum,100.0,100.0,1
Inocybe brunnescens,300.0,700.0,3
Inocybe citrifolia,200.0,400.0,2
Inocybe corydalina,400.0,600.0,3
Inocybe fraudans,250.0,650.0,3
Inocybe insinuata,200.0,400.0,2
Inocybe pallidicremea,120.0,300.0,1
Inocybe griseolilacina,150.0,300.0,1
Inocybe pudica,200.0,400.0,2
Pseudosperma sororium,250.0,650.0,3
Lactarius alnicola,600.0,1300.0,7
Lactarius argillaceifolius,900.0,2100.0,10
Lactarius deliciosus,500.0,1300.0,7
Lactarius pallescens,500.0,1100.0,5
Lactarius pubescens,300.0,700.0,3
Lactarius rubrilacteus,500.0,1200.0,7
Lactarius xanthogalactus,400.0,1100.0,5
Tricholoma equestre,500.0,1300.0,7
Mycena acicula,20.0,80.0,1
Mycena tenerrima,20.0,40.0,1
Mycena amicta,50.0,150.0,1
Mycena aurantiomarginata,100.0,200.0,1
Mycena californiensis,70.0,200.0,1
Mycena capillaripes,100.0,200.0,1
Mycena galericulata,200.0,500.0,2
Mycena nivicola,150.0,300.0,1
Mycena haematopus,100.0,300.0,1
Mycena maculata,150.0,400.0,2
Mycena oregonensis,20.0,80.0,1
Mycena overholtsii,200.0,600.0,3
Mycena pura,150.0,450.0,2
Mycena purpureofusca,70.0,300.0,1
Russula sanguinea,400.0,1000.0,5
Russula aeruginea,500.0,900.0,4
Russula cerolens,400.0,1100.0,5
Russula basifurcata,400.0,700.0,3
Russula brevipes,600.0,1200.0,7
Russula cyanoxantha,400.0,1500.0,6
Russula densifolia,700.0,1300.0,7
Russula dissimulans,500.0,2000.0,10
Russula cantharellicola,700.0,1200.0,7
Russula fragrantissima,750.0,2000.0,10
Russula olivacea,800.0,1600.0,6
Russula silvicola,400.0,900.0,4
Suillus pungens,500.0,1300.0,7
Suillus brevipes,350.0,1000.0,5
Suillus caerulescens,600.0,1300.0,7
Suillus fuscotomentosus,400.0,1500.0,6
Suillus lakei,400.0,1200.0,7
Suillus megaporinus,200.0,700.0,3
Suillus tomentosus,500.0,1100.0,5
Suillus umbonatus,200.0,800.0,4
Suillus volcanalis,800.0,1500.0,6
Tricholoma atroviolaceum,350.0,900.0,4
Tricholoma dryophilum,500.0,1500.0,6
Tricholoma fracticum,500.0,1000.0,5
Tricholoma griseoviolaceum,400.0,1100.0,5
Tricholoma imbricatum,600.0,1500.0,6
Tricholoma moseri,200.0,450.0,2
Tricholoma muricatum,500.0,1200.0,7
Tricholoma saponaceum,400.0,900.0,4
Tricholoma sejunctum,400.0,900.0,4
Tricholoma vernaticum,400.0,1400.0,7
Tricholoma myomyces,150.0,500.0,2
