Stipes Thick Lower,Stipes Thick Upper,Cluster
150.0,300.0,10
50.0,250.0,10
100.0,350.0,7
600.0,600.0,2
100.0,200.0,9
300.0,450.0,8
200.0,400.0,8
150.0,250.0,10
150.0,250.0,10
40.0,100.0,6
100.0,200.0,9
40.0,70.0,6
100.0,150.0,9
200.0,350.0,7
25.0,35.0,5
100.0,200.0,9
150.0,250.0,10
300.0,500.0,1
40.0,70.0,6
250.0,350.0,7
150.0,200.0,9
40.0,80.0,6
150.0,200.0,9
200.0,300.0,10
100.0,200.0,9
100.0,350.0,7
350.0,350.0,8
100.0,200.0,9
150.0,400.0,8
60.0,200.0,9
100.0,200.0,9
100.0,200.0,9
200.0,300.0,10
150.0,350.0,7
150.0,300.0,10
100.0,300.0,10
100.0,250.0,10
100.0,300.0,10
200.0,400.0,8
120.0,200.0,9
100.0,250.0,10
400.0,400.0,8
30.0,50.0,5
100.0,600.0,1
100.0,300.0,10
100.0,200.0,9
100.0,250.0,10
300.0,400.0,8
150.0,300.0,10
300.0,600.0,1
100.0,150.0,9
100.0,250.0,10
1300.0,1300.0,4
300.0,800.0,3
250.0,350.0,7
250.0,450.0,8
200.0,600.0,1
800.0,800.0,3
300.0,400.0,8
300.0,500.0,1
350.0,700.0,2
100.0,200.0,9
150.0,250.0,10
100.0,300.0,10
40.0,100.0,6
50.0,120.0,6
40.0,80.0,6
40.0,60.0,6
100.0,150.0,9
150.0,400.0,8
50.0,120.0,6
40.0,80.0,6
30.0,70.0,6
100.0,200.0,9
100.0,150.0,9
30.0,70.0,6
100.0,200.0,9
50.0,170.0,9
30.0,60.0,6
30.0,40.0,5
40.0,70.0,6
50.0,80.0,6
30.0,80.0,6
150.0,250.0,10
200.0,500.0,1
150.0,250.0,10
120.0,200.0,9
150.0,200.0,9
100.0,250.0,10
100.0,200.0,9
150.0,300.0,10
5.0,5.0,5
10.0,10.0,5
10.0,30.0,5
10.0,20.0,5
10.0,20.0,5
10.0,20.0,5
20.0,50.0,5
20.0,30.0,5
20.0,30.0,5
15.0,40.0,5
100.0,100.0,6
150.0,150.0,9
20.0,70.0,6
10.0,40.0,5
100.0,250.0,10
100.0,200.0,9
100.0,250.0,10
100.0,300.0,10
200.0,300.0,10
100.0,300.0,10
200.0,400.0,8
100.0,400.0,8
250.0,350.0,7
150.0,600.0,1
200.0,350.0,7
100.0,300.0,10
150.0,200.0,9
150.0,350.0,7
100.0,350.0,7
200.0,350.0,7
150.0,250.0,10
50.0,100.0,6
150.0,300.0,10
50.0,100.0,6
200.0,450.0,8
150.0,300.0,10
100.0,450.0,8
150.0,250.0,10
100.0,200.0,9
200.0,350.0,7
50.0,100.0,6
100.0,350.0,7
150.0,200.0,9
100.0,150.0,9
200.0,350.0,7
50.0,100.0,6
